ttid,rank,rankchange,title,fulltitle,year,image_url,crew,rating,ratingCount
tt11271038,21,-5,Licorice Pizza,2021,2021,https://imdb-api.com/images/original/MV5BZTgxMWJkMzItMzg1YS00NDJiLTljYjctMTc2YzQzZDZjZDAyXkEyXkFqcGdeQXVyODQ2OTIzNDU@._V1_Ratio0.6716_AL_.jpg,7.6,40415.0,40415
tt11466222,22,-16,Jackass Forever,2022,2022,https://imdb-api.com/images/original/MV5BMjY3OTBlODktYzliNS00Y2VkLWJhZjktZDcwY2E2YzhmOThhXkEyXkFqcGdeQXVyOTg4MDMxODM@._V1_Ratio0.7910_AL_.jpg,7.6,11039.0,11039
tt1160419,23,-4,Dune,2021,2021,https://imdb-api.com/images/original/MV5BN2FjNmEyNWMtYzM0ZS00NjIyLTg5YzYtYThlMGVjNzE1OGViXkEyXkFqcGdeQXVyMTkxNjUyNQ@@._V1_Ratio0.6716_AL_.jpg,8.1,495730.0,495730
tt11214590,24,-10,House of Gucci,2021,2021,https://imdb-api.com/images/original/MV5BYzdlMTMyZWQtZWNmMC00MTJiLWIyMWMtM2ZlZDdlYzZhNTc0XkEyXkFqcGdeQXVyMTMzNDE5NDM2._V1_Ratio0.6716_AL_.jpg,6.7,79048.0,79048
tt9032400,25,-4,Eternals,2021,2021,https://imdb-api.com/images/original/MV5BMTExZmVjY2ItYTAzYi00MDdlLWFlOWItNTJhMDRjMzQ5ZGY0XkEyXkFqcGdeQXVyODIyOTEyMzY@._V1_Ratio0.6716_AL_.jpg,6.4,261820.0,261820
tt5834426,26,-15,Moonfall,2022,2022,https://imdb-api.com/images/original/MV5BZjk0OWZiN2ItNmQ2YS00NTJmLTg0MjItNzM4NzBkMWM1ZTRlXkEyXkFqcGdeQXVyMjMxOTE0ODA@._V1_Ratio0.7015_AL_.jpg,5.3,12573.0,12573
tt11252248,27,51,Dog,2022,2022,https://imdb-api.com/images/original/MV5BZDRiNDFmMGYtOWY3Ni00ZjUxLTkzZGYtODZiNmIxZGRiZTM4XkEyXkFqcGdeQXVyMDM2NDM2MQ@@._V1_Ratio0.6716_AL_.jpg,6.8,1935.0,1935
tt12789558,28,-10,Belfast,2021,2021,https://imdb-api.com/images/original/MV5BODMwYTYyY2ItOWQ5Yi00OTI1LTllYTQtYTdlNWM4YzJhYTM0XkEyXkFqcGdeQXVyMTA2MDU0NjM5._V1_Ratio0.6716_AL_.jpg,7.3,32940.0,32940
tt10733228,29,1,Gehraiyaan,2022,2022,https://imdb-api.com/images/original/MV5BOGRhZmVhMzQtYWRhZC00MDYwLTlmMTMtZGNhYzgzOTZlZmMyXkEyXkFqcGdeQXVyMTI1NDEyNTM5._V1_Ratio0.7910_AL_.jpg,6.3,34779.0,34779
tt10131024,30,19,Shut In,2022,2022,https://imdb-api.com/images/original/MV5BYzA2NjQ1NGMtMzdjMi00NTM3LTk0NjEtMDJkNTk3M2JlMjc2XkEyXkFqcGdeQXVyMTMwMjk4ODU1._V1_Ratio0.6716_AL_.jpg,6.5,4391.0,4391
tt11541872,31,71,Big Bug,2022,2022,https://imdb-api.com/images/original/MV5BN2YxMzViODItZmRmYi00N2Y3LWI2ZDktNWZlODY0NjhhNGVlXkEyXkFqcGdeQXVyMTUwOTU0Mw@@._V1_Ratio0.6716_AL_.jpg,5.5,4875.0,4875
tt14158554,32,0,Fistful of Vengeance,2022,2022,https://imdb-api.com/images/original/MV5BMmI3YTI2ZWMtYjE3MC00N2IwLWEwOTYtMTY3ZjMxMGM5NTFlXkEyXkFqcGdeQXVyMTEzMTI1Mjk3._V1_Ratio0.7910_AL_.jpg,4.6,4367.0,4367
tt6467266,33,-5,Sing 2,2021,2021,https://imdb-api.com/images/original/MV5BMWRiZGQ1NDMtODQ2OS00MDlhLWJkZGYtM2ZmNjlhZThjOWRmXkEyXkFqcGdeQXVyMTkxNjUyNQ@@._V1_Ratio0.6716_AL_.jpg,7.5,34870.0,34870
tt10366460,34,-14,CODA,2021,2021,https://imdb-api.com/images/original/MV5BNGNmMzJjMTItODA0OC00ZWM0LWJmMTctMDg3MzM2M2Y5NTIyXkEyXkFqcGdeQXVyMDM2NDM2MQ@@._V1_Ratio0.6716_AL_.jpg,8.1,53745.0,53745
tt12536294,35,-6,Spencer,2021,2021,https://imdb-api.com/images/original/MV5BMTdkZDc4YmQtYzA3My00NzliLThjN2YtMDIwMDkxY2Y4ODdmXkEyXkFqcGdeQXVyMTA2MDU0NjM5._V1_Ratio0.6716_AL_.jpg,6.7,43224.0,43224
tt9907782,36,226,The Cursed,2021,2021,https://imdb-api.com/images/original/MV5BMjllNWFhZWUtN2NlNi00NDBmLWE5MjgtMGM3ZGQyNjk1NjQ5XkEyXkFqcGdeQXVyMTM1MTE1NDMx._V1_Ratio0.6716_AL_.jpg,6.4,1565.0,1565
tt7740510,37,66,Antlers,2021,2021,https://imdb-api.com/images/original/MV5BY2UzODAyNjktN2MwYy00M2RkLThiOTEtMjU1MTgxY2EzM2YyXkEyXkFqcGdeQXVyODk5MDA0MDU@._V1_Ratio0.6716_AL_.jpg,5.9,26970.0,26970
tt10370710,38,-6,The Worst Person in the World,2021,2021,https://imdb-api.com/images/original/MV5BZmNmNWM5ZGMtYjM0My00NjliLWFlODYtZTY0ZTYzNjgxYjExXkEyXkFqcGdeQXVyMTAyMjQ3NzQ1._V1_Ratio0.6716_AL_.jpg,7.9,21588.0,21588
tt2463208,39,1,The Adam Project,2022,2022,https://imdb-api.com/images/original/MV5BOWY3ZWFkZmItNDE3Ny00ZTBhLTg0NjQtY2E2ZGEyNmEwODA3XkEyXkFqcGdeQXVyMTkxNjUyNQ@@._V1_Ratio0.6716_AL_.jpg,0,0.0,0
tt4244994,40,-9,The Last Duel,2021,2021,https://imdb-api.com/images/original/MV5BZGExZTUzYWQtYWJjZi00OTI4LTk4OGYtNTA2YzcwMmNiZTMxXkEyXkFqcGdeQXVyMTEyMjM2NDc2._V1_Ratio0.6716_AL_.jpg,7.4,122068.0,122068
tt10838180,41,-8,The Matrix Resurrections,2021,2021,https://imdb-api.com/images/original/MV5BMGJkNDJlZWUtOGM1Ny00YjNkLThiM2QtY2ZjMzQxMTIxNWNmXkEyXkFqcGdeQXVyMDM2NDM2MQ@@._V1_Ratio0.6716_AL_.jpg,5.7,199703.0,199703
tt0439572,42,59,The Flash,2022,2022,https://imdb-api.com/images/original/MV5BOWNhMGU5MjEtMGVkYi00M2RiLWE5NjUtY2U5NDAxZTcwNDY0XkEyXkFqcGdeQXVyODk4OTc3MTY@._V1_Ratio0.6716_AL_.jpg,0,0.0,0
tt8721424,43,-9,"tick, tick...BOOM!",2021,2021,https://imdb-api.com/images/original/MV5BZmMyMmE0M2UtN2E2MC00YzVmLTkwODgtOTVhYjVlOTBhY2RjXkEyXkFqcGdeQXVyODk4OTc3MTY@._V1_Ratio0.6716_AL_.jpg,7.6,78375.0,78375
tt8847712,44,6,The French Dispatch,2021,2021,https://imdb-api.com/images/original/MV5BNmQxZTNiODYtNzBhYy00MzVlLWJlN2UtNTc4YWZjMDIwMmEzXkEyXkFqcGdeQXVyMTkxNjUyNQ@@._V1_Ratio0.6716_AL_.jpg,7.3,83952.0,83952
tt2382320,45,-3,No Time to Die,2021,2021,https://imdb-api.com/images/original/MV5BYWQ2NzQ1NjktMzNkNS00MGY1LTgwMmMtYTllYTI5YzNmMmE0XkEyXkFqcGdeQXVyMjM4NTM5NDY@._V1_Ratio0.6716_AL_.jpg,7.3,318159.0,318159
tt14039582,46,-19,Drive My Car,2021,2021,https://imdb-api.com/images/original/MV5BYTQ0MmJiODMtOGQ5Ni00OTUzLWI0ODUtYjM1YTA1NTMzODc0XkEyXkFqcGdeQXVyODgzNDIwODA@._V1_Ratio0.7015_AL_.jpg,7.8,15103.0,15103
tt9100054,47,-12,The Lost Daughter,2021,2021,https://imdb-api.com/images/original/MV5BZTJmYTJmYTktMzU1Yy00ZTZlLTgzNjItYmY4ZDFjZGFjYjZhXkEyXkFqcGdeQXVyMTEyMjM2NDc2._V1_Ratio0.6716_AL_.jpg,6.7,44115.0,44115
tt3402236,48,7,Murder on the Orient Express,2017,2017,https://imdb-api.com/images/original/MV5BMTAxNDkxODIyMDZeQTJeQWpwZ15BbWU4MDQ2Mjg4NDIy._V1_Ratio0.6716_AL_.jpg,6.5,235524.0,235524
tt6443346,49,49,Black Adam,2022,2022,https://imdb-api.com/images/original/MV5BNTAxMGQ2NTQtMDYwMC00NDQ3LTgwYTAtOWYzMjE4OGVkZjk2XkEyXkFqcGdeQXVyODk4OTc3MTY@._V1_Ratio0.6716_AL_.jpg,0,0.0,0
tt6334354,50,3,The Suicide Squad,2021,2021,https://imdb-api.com/images/original/MV5BNGM3YzdlOWYtNjViZS00MTE2LWE1MWUtZmE2ZTcxZjcyMmU3XkEyXkFqcGdeQXVyODEyMTI1MjA@._V1_Ratio0.6716_AL_.jpg,7.2,306948.0,306948
tt14060094,51,8,Blacklight,2022,2022,https://imdb-api.com/images/original/MV5BY2ViYmNhNzEtZDJhNS00YzM4LTkzZWItZDJiNzc5ZDExOWZmXkEyXkFqcGdeQXVyMDA4NzMyOA@@._V1_Ratio0.6716_AL_.jpg,5.0,1440.0,1440
tt8550054,52,24,Pleasure,2021,2021,https://imdb-api.com/images/original/MV5BMDUzMmIwYWMtMjNjOS00NGNkLThkY2MtOGNlOTY1ZWVkYjRkXkEyXkFqcGdeQXVyNjczMzgwMDg@._V1_Ratio0.6716_AL_.jpg,6.3,6440.0,6440
tt13403046,53,398,Fresh,2022,2022,https://imdb-api.com/images/original/MV5BYTUzNDY5MjctYmJjNi00NDQzLTg4M2UtYTExMTI1ZTVlMzE2XkEyXkFqcGdeQXVyODc0OTEyNDU@._V1_Ratio0.6716_AL_.jpg,6.9,314.0,314
tt2802144,54,23,Kingsman: The Secret Service,2014,2014,https://imdb-api.com/images/original/MV5BYTM3ZTllNzItNTNmOS00NzJiLTg1MWMtMjMxNDc0NmJhODU5XkEyXkFqcGdeQXVyODE5NzE3OTE@._V1_Ratio0.6716_AL_.jpg,7.7,640844.0,640844
tt14592064,55,-30,Home Team,2022,2022,https://imdb-api.com/images/original/MV5BZmNkZjBhMmMtODBkMC00ZDU1LWEyMTEtOWQ3Zjc2ZWZjMmMxXkEyXkFqcGdeQXVyMTEzMTI1Mjk3._V1_Ratio0.7910_AL_.jpg,6.0,13199.0,13199
tt11365186,56,-10,Redeeming Love,2022,2022,https://imdb-api.com/images/original/MV5BMTMxMmRmMWUtNGNhZS00MWYxLTkwNzUtM2QwNzI4MGU1ZTI2XkEyXkFqcGdeQXVyNTQ3MjE4NTU@._V1_Ratio0.6716_AL_.jpg,6.6,2973.0,2973
tt9620288,57,-20,King Richard,2021,2021,https://imdb-api.com/images/original/MV5BYTcyNmY4ZGEtYmE4Zi00ZDViLTlmYzMtMmQ4ZTM4OWNmZjQxXkEyXkFqcGdeQXVyMTkxNjUyNQ@@._V1_Ratio0.6716_AL_.jpg,7.6,54334.0,54334
tt16085592,58,158,Tall Girl 2,2022,2022,https://imdb-api.com/images/original/MV5BMjUwM2JiOWMtNDUyZi00Yjg1LThkMzQtYTM1NWE2YzIwOTNmXkEyXkFqcGdeQXVyMTEzMTI1Mjk3._V1_Ratio0.7910_AL_.jpg,4.7,2689.0,2689
tt6264654,59,-1,Free Guy,2021,2021,https://imdb-api.com/images/original/MV5BOTY2NzFjODctOWUzMC00MGZhLTlhNjMtM2Y2ODBiNGY1ZWRiXkEyXkFqcGdeQXVyMDM2NDM2MQ@@._V1_Ratio0.6716_AL_.jpg,7.2,288912.0,288912
tt14463484,60,-36,Through My Window,2022,2022,https://imdb-api.com/images/original/MV5BMmNkYWMwZjQtNDQyZC00OTgxLTk0ZWEtNmMwNzQ1MmQ2ODYyXkEyXkFqcGdeQXVyMTEzMTI1Mjk3._V1_Ratio0.6716_AL_.jpg,5.5,5577.0,5577
tt2180339,61,0,Deep Water,2022,2022,https://imdb-api.com/images/original/MV5BNmEwNDU2NGYtMzM3Yy00N2E5LTg0ODQtODYyODFlMDU0YzI0XkEyXkFqcGdeQXVyODc0OTEyNDU@._V1_Ratio0.6716_AL_.jpg,0,0.0,0
tt3581652,62,-26,West Side Story,2021,2021,https://imdb-api.com/images/original/MV5BMzQ5ZDZhZDItZTNmZi00MWQ0LWJlNDUtZTE4ZWJmODNlM2Y3XkEyXkFqcGdeQXVyMDA4NzMyOA@@._V1_Ratio0.6716_AL_.jpg,7.7,32170.0,32170
tt0087332,63,3,Ghostbusters,1984,1984,https://imdb-api.com/images/original/MV5BMTkxMjYyNzgwMl5BMl5BanBnXkFtZTgwMTE3MjYyMTE@._V1_Ratio0.6716_AL_.jpg,7.8,400413.0,400413
tt0102492,64,650,My Girl,1991,1991,https://imdb-api.com/images/original/MV5BYWM2ZDliNjItZTcxOC00NTY2LWE1ODctNzRhNGM3YWIyYjBiXkEyXkFqcGdeQXVyNTIzOTk5ODM@._V1_Ratio0.6716_AL_.jpg,6.9,78721.0,78721
tt13320622,65,10,The Lost City,2022,2022,https://imdb-api.com/images/original/MV5BMmIwYzFhODAtY2I1YS00ZDdmLTkyYWQtZjI5NDIwMDc2MjEyXkEyXkFqcGdeQXVyODk4OTc3MTY@._V1_Ratio0.6716_AL_.jpg,0,0.0,0
tt8851148,66,29,The In Between,2022,2022,https://imdb-api.com/images/original/MV5BNGRjNWUxMzgtM2ZhZC00NmI3LThiNWEtNGFkNDk4OWRmYWI4XkEyXkFqcGdeQXVyMTM1MTE1NDMx._V1_Ratio0.6716_AL_.jpg,5.8,960.0,960
tt8356942,67,-20,The 355,2022,2022,https://imdb-api.com/images/original/MV5BNzk4MDZhNTctMDA3OC00ODdkLWIyOWYtN2M0MzA3MDY5NDk1XkEyXkFqcGdeQXVyMTkxNjUyNQ@@._V1_Ratio0.6716_AL_.jpg,5.2,15258.0,15258
tt7888964,68,-14,Nobody,2021,2021,https://imdb-api.com/images/original/MV5BMjM5YTRlZmUtZGVmYi00ZjE2LWIyNzAtOWVhMDk1MDdkYzhjXkEyXkFqcGdeQXVyMjMxOTE0ODA@._V1_Ratio0.6716_AL_.jpg,7.4,207481.0,207481
tt12889404,69,10,Cyrano,2021,2021,https://imdb-api.com/images/original/MV5BNDhhYjU4ZDMtYjI5OC00N2RkLTg5MGItZTNkM2Q5MzE5NjQxXkEyXkFqcGdeQXVyODk2NDQ3MTA@._V1_Ratio0.6716_AL_.jpg,6.0,2757.0,2757
tt8244784,70,-22,The Hunt,2020,2020,https://imdb-api.com/images/original/MV5BNjg4MjRhZjgtNTIxOS00MmRjLTg4NTEtNjBkNzkwZjAxMjMyXkEyXkFqcGdeQXVyMTkxNjUyNQ@@._V1_Ratio0.6716_AL_.jpg,6.5,100343.0,100343
tt10648342,71,14,Thor: Love and Thunder,2022,2022,https://imdb-api.com/images/original/MV5BMzZjMTIwNjYtYTg0ZS00ZDFjLTk3MDctMTY3ZTgwMjQ4MmFiXkEyXkFqcGdeQXVyNjg2NjQwMDQ@._V1_Ratio0.7015_AL_.jpg,0,0.0,0
tt7475578,72,-31,Munich: The Edge of War,2021,2021,https://imdb-api.com/images/original/MV5BODIwMDE0MTktZTVjNS00OTVmLTg1MDEtOWNhMmUzYmNkM2UyXkEyXkFqcGdeQXVyNTg1MDQzMDU@._V1_Ratio0.6716_AL_.jpg,6.9,21584.0,21584
tt11847410,73,-35,The Fallout,2021,2021,https://imdb-api.com/images/original/MV5BMjM2MTg0MDUtZTMwOS00MTk3LTkzZWQtOTQ0ODY4MTI3MTMxXkEyXkFqcGdeQXVyMTM1MTE1NDMx._V1_Ratio0.6716_AL_.jpg,7.1,9113.0,9113
tt10095582,74,-30,The Tragedy of Macbeth,2021,2021,https://imdb-api.com/images/original/MV5BMzM0YWNmMDEtNmI3Yy00NjQ4LWJlZjMtMzk2YjUxOThhZGQxXkEyXkFqcGdeQXVyMDM2NDM2MQ@@._V1_Ratio0.6716_AL_.jpg,7.2,23534.0,23534
tt0111161,75,-5,The Shawshank Redemption,1994,1994,https://imdb-api.com/images/original/MV5BMDFkYTc0MGEtZmNhMC00ZDIzLWFmNTEtODM1ZmRlYWMwMWFmXkEyXkFqcGdeQXVyMTMxODk2OTU@._V1_Ratio0.6716_AL_.jpg,9.3,2550415.0,2550415
tt10886166,76,-3,365 Days,2020,2020,https://imdb-api.com/images/original/MV5BODljZTM3ODAtMDc0YS00NmI4LTlmZTUtM2I5MDAzNTQxZmMxXkEyXkFqcGdeQXVyMTEwMTY3NDI@._V1_Ratio0.7015_AL_.jpg,3.3,73444.0,73444
tt11703710,77,562,Downton Abbey: A New Era,2022,2022,https://imdb-api.com/images/original/MV5BN2VhNGRjZGYtZmFlZS00NWRmLWExOGUtMGU3ZWE2ZGZjNTgzXkEyXkFqcGdeQXVyMTEyMjM2NDc2._V1_Ratio0.6716_AL_.jpg,0,0.0,0
tt9639470,78,-17,Last Night in Soho,2021,2021,https://imdb-api.com/images/original/MV5BZjgwZDIwY2MtNGZlNy00NGRlLWFmNTgtOTBkZThjMDUwMGJhXkEyXkFqcGdeQXVyMTEyMjM2NDc2._V1_Ratio0.6716_AL_.jpg,7.1,89623.0,89623
tt15553956,79,225,Love and Leashes,2022,2022,https://imdb-api.com/images/original/MV5BZDBhMGEwM2MtYjUyNS00MDY0LWE1ZGEtOWI2NTBlZmJkNTFmXkEyXkFqcGdeQXVyMTEzMTI1Mjk3._V1_Ratio0.6716_AL_.jpg,6.4,2565.0,2565
tt9376612,80,-12,Shang-Chi and the Legend of the Ten Rings,2021,2021,https://imdb-api.com/images/original/MV5BNTliYjlkNDQtMjFlNS00NjgzLWFmMWEtYmM2Mzc2Zjg3ZjEyXkEyXkFqcGdeQXVyMTkxNjUyNQ@@._V1_Ratio0.6716_AL_.jpg,7.5,326855.0,326855
tt0468569,81,-9,The Dark Knight,2008,2008,https://imdb-api.com/images/original/MV5BMTMxNTMwODM0NF5BMl5BanBnXkFtZTcwODAyMTk2Mw@@._V1_Ratio0.6716_AL_.jpg,9.0,2501046.0,2501046
tt0107290,82,5,Jurassic Park,1993,1993,https://imdb-api.com/images/original/MV5BMjM2MDgxMDg0Nl5BMl5BanBnXkFtZTgwNTM2OTM5NDE@._V1_Ratio0.6716_AL_.jpg,8.1,934631.0,934631
tt5727208,83,164,Uncut Gems,2019,2019,https://imdb-api.com/images/original/MV5BZDhkMjUyYjItYWVkYi00YTM5LWE4MGEtY2FlMjA3OThlYmZhXkEyXkFqcGdeQXVyODk4OTc3MTY@._V1_Ratio0.6716_AL_.jpg,7.4,259581.0,259581
tt8128276,84,997,Ted K,2021,2021,https://imdb-api.com/images/original/MV5BYzVhZGIyODYtMTk0NS00MTcxLTg3OWUtYzVkY2FlMDA2MDYyXkEyXkFqcGdeQXVyMTM1MTE1NDMx._V1_Ratio0.6716_AL_.jpg,6.1,1110.0,1110
tt4995540,85,-33,Being the Ricardos,2021,2021,https://imdb-api.com/images/original/MV5BNDlmZDU5MmUtNWFmMy00OTQ1LTk1YTctOTI3ZmU1YzZiYmZmXkEyXkFqcGdeQXVyMDM2NDM2MQ@@._V1_Ratio0.6716_AL_.jpg,6.6,30866.0,30866
tt5537002,86,-3,Killers of the Flower Moon,2022,2022,https://imdb-api.com/images/original/MV5BZmMyMDc4NWMtZmUzNC00ZjczLWE1ZmYtYWQ3ZTk4ODBmYzE2XkEyXkFqcGdeQXVyMTkxNjUyNQ@@._V1_Ratio1.5075_AL_.jpg,0,0.0,0
tt0072271,87,419,The Texas Chain Saw Massacre,1974,1974,https://imdb-api.com/images/original/MV5BZDI3OWE0ZWMtNGJjOS00N2E4LWFiOTAtZjQ4OTNiNzIwN2NkXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_Ratio0.6716_AL_.jpg,7.5,153465.0,153465
tt6920084,88,-23,Resident Evil: Welcome to Raccoon City,2021,2021,https://imdb-api.com/images/original/MV5BNjRmMDUxODctYjg3NC00NDRhLWJhZWItMjg0OTZkMDBjNWUxXkEyXkFqcGdeQXVyNjY1MTg4Mzc@._V1_Ratio0.7910_AL_.jpg,5.2,37298.0,37298
tt4154796,89,-9,Avengers: Endgame,2019,2019,https://imdb-api.com/images/original/MV5BMTc5MDE2ODcwNV5BMl5BanBnXkFtZTgwMzI2NzQ2NzM@._V1_Ratio0.6716_AL_.jpg,8.4,1017863.0,1017863
tt0816692,90,-8,Interstellar,2014,2014,https://imdb-api.com/images/original/MV5BZjdkOTU3MDktN2IxOS00OGEyLWFmMjktY2FiMmZkNWIyODZiXkEyXkFqcGdeQXVyMTMxODk2OTU@._V1_Ratio0.6716_AL_.jpg,8.6,1695466.0,1695466
tt9252508,91,292,Tall Girl,2019,2019,https://imdb-api.com/images/original/MV5BMDI3YmEwOTItNDEyNC00MGNlLWJiMjEtMzc0MTJjZmM1NGEzXkEyXkFqcGdeQXVyMTkxNjUyNQ@@._V1_Ratio0.6716_AL_.jpg,5.2,22232.0,22232
tt0092099,92,161,Top Gun,1986,1986,https://imdb-api.com/images/original/MV5BYTgzYTg5NTMtMjFmMy00MWIxLWEwYTQtN2UyMzY3NDIzOTRjL2ltYWdlXkEyXkFqcGdeQXVyNjQzNDI3NzY@._V1_Ratio0.6716_AL_.jpg,6.9,318937.0,318937
tt12472554,93,64,Mahaan,2022,2022,https://imdb-api.com/images/original/MV5BMjlhZjg5YzAtMGFiNS00OGMzLTkxYjAtMGFkNTg5MzM1ZmNmXkEyXkFqcGdeQXVyMTE2NTYzNTQy._V1_Ratio0.6716_AL_.jpg,8.1,9051.0,9051
